"Country","Year","Season","Area","Fleets","Fleet1","Catch.Cat.","Discards.Imported.Or.Raised","Catch..kg","Source","p","Catch..kgOld"
"France",2002,1,"27.8.b","OTB_CRU_0_0","OTB_CRU","Landings","Imported",0,"FillCountry",1,0
"France",2002,1,"27.8.b","OTB_DEF_0_0","OTB_DEF","Landings","Imported",644.65,"FillCountry",1,644.65
"France",2002,1,"27.8.b","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",42357.01,"Imported",1,42357.01
"France",2002,1,"27.8.b","OTT-CRU","OTB_CRU","Landings","Imported",395.75,"FillCountry",1,395.75
"France",2002,1,"27.8.b","OTT-DEF","OTB_DEF","Landings","Imported",194.28,"FillCountry",1,194.28
"France",2002,1,"27.8.b","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",305.52,"FillCountry",1,305.52
"France",2002,1,"27.8.d","GNS_DEF_0_0","GNS_DEF","Landings","Imported",2.48,"FillCountry",1,2.48
"France",2002,1,"27.8.d","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",111.95,"FillCountry",1,111.95
"France",2002,1,"27.8.d","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",1721.98,"FillCountry",1,1721.98
"France",2002,1,"27.8.d","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",0.88,"FillCountry",1,0.88
"France",2002,1,"27.8.d","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",1735.6,"FillCountry",1,1735.6
"France",2002,1,"27.8.d","OTT-CRU","OTB_CRU","Landings","Imported",144.59,"FillCountry",1,144.59
"France",2002,1,"27.8.d","OTT_DEF_>=70_0_0","OTB_DEF","Landings","Imported",4560.66,"FillCountry",1,4560.66
"France",2002,2,"27.7.b","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",10.63,"FillCountry",1,10.63
"France",2002,2,"27.7.b","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",9.34,"FillCountry",1,9.34
"France",2002,2,"27.7.b","OTB_CRU_0_0","OTB_CRU","Landings","Imported",110.24,"FillCountry",1,110.24
"France",2002,2,"27.7.b","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",35062.05,"FillCountry",1,35062.05
"France",2002,2,"27.7.b","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",13433.91,"FillCountry",1,13433.91
"France",2002,2,"27.7.b","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",55.34,"FillCountry",1,55.34
"France",2002,2,"27.7.c","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",4.41,"FillCountry",1,4.41
"France",2002,2,"27.7.c","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",9.45,"FillCountry",1,9.45
"France",2002,2,"27.7.c","OTB_CRU_0_0","OTB_CRU","Landings","Imported",291.15,"FillCountry",1,291.15
"France",2002,2,"27.7.c","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",2133.34,"FillCountry",1,2133.34
"France",2002,2,"27.7.c","OTB_DEF_70-99_0_0","OTB_DEF","Landings","Imported",702.24,"FillCountry",1,702.24
"France",2002,2,"27.7.c","OTT-CRU","OTB_CRU","Landings","Imported",195.13,"FillCountry",1,195.13
"France",2002,2,"27.7.c","OTT_DEF_100-119_0_0","OTB_DEF","Landings","Imported",163.07,"FillCountry",1,163.07
"France",2002,2,"27.7.d","GNS_DEF_>=100_0_0","GNS_DEF","Landings","Imported",27.57,"FillCountry",1,27.57
"France",2002,2,"27.7.d","GTR_DEF_0_0","GNS_DEF","Landings","Imported",1.01,"FillCountry",1,1.01
"France",2002,2,"27.7.d","GTR_DEF_100-119_0_0","GNS_DEF","Landings","Imported",0.66,"FillCountry",1,0.66
"France",2002,2,"27.7.d","GTR_DEF_120-219_0_0","GNS_DEF","Landings","Imported",1.29,"FillCountry",1,1.29
"France",2002,2,"27.7.d","MIS_MIS_0_0_0_HC","MIS_MIS","Landings","Imported",88.75,"FillCountry",1,88.75
"France",2002,2,"27.7.d","OTB_CRU_0_0","OTB_CRU","Landings","Imported",13.95,"FillCountry",1,13.95
"France",2002,2,"27.7.d","OTB_DEF_0_0","OTB_DEF","Landings","Imported",31.96,"FillCountry",1,31.96
"France",2002,2,"27.7.d","OTB_DEF_100-119_0_0","OTB_DEF","Landings","Imported",6.95,"FillCountry",1,6.95
